ID,CALL,CN,TYPE,INDEX
 ,RU-2368G,AP,Arcus M,1.05
FLRDDEF27,D-KHAB,AB,Arcus T,1.05
FLRDD0921,D-KIMD,MD,ASG 32 Mi,1.05
FLR3E5F30,D-KBGA,GA,ASG 32 Mi,1.05
FLRD0017E,F-CNIV,IV,ASG-32 Mi,1.05
FLRDDF084,OK-7393,TS,Twin Shark,1.05
FLRDDECA2,OH-1018,AM,Arcus M,1.05
FLRDDF029,OY-XHZ,V4,Duo Discus T,1
FLREF0927,F-CIFF,FP,Arcus T,1.05
FLRDF0A25,D-KILI,V9,Arcus M,1.05
FLRDF08EE,OE-9485,1,Arcus M,1.05
 ,G-LXVI,66,Arcus T,1.05
FLR3E675D,D-KEIN,V8,Arcus T,1.05
FLR3E6020,D-KBPG,BPG,Arcus M,1.05
