ID,CALL,CN,TYPE,INDEX
 ,reg_NOTYET,SP,JS3,107
 ,reg_NOTYET,BX,JSMD3,86
 ,reg_NOTYET,WS,ASG 29E,113
 ,reg_NOTYET,PES,ASG 29E,113
 ,reg_NOTYET,LS,LS10st,98
 ,reg_NOTYET,I7,Ventus 3T,110
 ,reg_NOTYET,XD,JS3,107
 ,reg_NOTYET,TBA,TBA,86
 ,reg_NOTYET,AL,Ventus 2 cxa FES,119
 ,reg_NOTYET,AA,JS3,107
 ,reg_NOTYET,VY,Ventus 3T,110
 ,reg_NOTYET,77,LAK-17B-FES,114
 ,reg_NOTYET,AK,ASG 29,113
 ,reg_NOTYET,LV,Ventus 2cxm,118
 ,reg_NOTYET,D3,Diana 3,114
 ,reg_NOTYET,210,Ventus 3T,110
 ,reg_NOTYET,2T,ASG 29 E,113
 ,reg_NOTYET,WOI,Ventus 3T,110
 ,reg_NOTYET,TP,JS1-B,86
 ,reg_NOTYET,110,Ventus 3,110
 ,reg_NOTYET,AX,JS3,107
 ,reg_NOTYET,TBA,TBA,86
 ,reg_NOTYET,GT,Ventus 3,110
 ,reg_NOTYET,E1,JS-3,86
 ,reg_NOTYET,VZ,ASG 29E,113
 ,reg_NOTYET,14,JS3,107
 ,reg_NOTYET,FM,JS3,107
 ,reg_NOTYET,WG,ASG 29,113
 ,reg_NOTYET,2L,JS3,107
