ID,CALL,CN,TYPE,INDEX
FLRDDF91F,CC-PQW,QW,Ventus 17.6m,115
FLRDDFAEE,CC-LWD,WD,Ventus cM 17.6m,115
FLR200000,CC-AGN,GN,Ventus 2,114
FLRDDFA81,CC-PQZ,QZ,Ventus 2cT/15m,114
FLRDDF0DE,CC-ASZ,SZ,DG 1000/20m,110
FLRDF1376,CC-AIG,IG,Arcus M,114
FLRDDF9D8,CC-PQV,QV,Ventus 2cT/15m,114
FLRDDFD1F,CC-PYV,YV,Ventus cT 17.6m,115
FLRDF0CBA,CC-AVR,VR,Ventus 2cM/18m,118
