ID,CALL,CN,TYPE,INDEX
FLRDDFA6E,CC-K14W,4W,Pilatus B4 RG,88
FLRDDFABC,CC-K16W,6W,Pilatus B4 RG,88
FLRDDF967,CC-AJQ,JQ,Pilatus B4 RG,88
FLRDDFAD6,CC-KWY,WY,mini Nimbus,107
FLRDDFA6D,CC-LWA,WA,Janus C RG,108
 ,CC-K4Q,4Q,Pilatus B4 RG,88
FLRDDFAF8,CC-K23W,3W,Mini Nimbus,107
FLRDDF9D6,CC-KWX,WX,Mini Nimbus,107
FLRDDF93C,CC-K19W,9W,Janus 18.2m,102
FLRDD52C0,LV-ELL,ND,Jantar ST2,101
FLRA51D93,CC-PXX,C2,Mini Nimbus,107
