ID,CALL,CN,TYPE,INDEX
FLRDDAA75,D-9024,EX,ASW 24,107
FLRDDD94B,EC-HRT,Z3,LS 7 WL,107
FLRDDAD51,D-KDHF,HF,Discus bT,107
FLRDDBD35,D-7269,MH,Discus,107
FLRDDBB9B,D-7828,5J,LS 4,104
FLRDDDD78,F-CGVL,VL,Ventus 2,114
FLRDDE01E,D-2787,27B,ASW 27,114
FLRDDC405,EC-GNE,MU,LS 3a,107
FLRDDBCF9,D-8561,P2,LS 6,111
FLRDDAE9D,F-CESI,MI,ASW 20,110
FLRDDD58F,D-3356,7A,ASW 27,114
FLRDD0230,D-7670,70,ASW 20,110
