ID,CALL,CN,TYPE,INDEX
ICA4B5175,D-1377,LD,Duo Discus,110
FLRD0006C,D-KLXV,E3,ASG 29/18m,119
FLRDDEE86,D-KPDS,PD,DG 1000/20m,110
FLRDDDE81,D-KKIK,IK,Ventus 2cT/18m,118
FLRDD878F,D-KPRO,RO,ASG 29/18m,119
FLRDD9F5C,EC-KYA,AY,Duo Discus,110
FLRDD920C,D-KADR,DR,Duo Discus T,110
FLRDDEAB0,D-KSEO,AG,LAK 17/18m,117
FLRDDEA0B,D-KTAJ,AJ,ASH 31 Mi/21m,121
