ID,CALL,CN,TYPE,INDEX
FLRDDEFE7,D-6275,ET,ASW 20,110
FLRDDD5DB,D-4809,LS,Astir CS,96
FLRDDD906,F-CESO,S14,LS 3a,107
FLRDDE48A,D-2520,K5,Janus_C,108
FLRDDF052,EC-JYS,NZ,DG200,107
FLRDDE20E,D-0118,TC,DG 300,104
FLRDDC159,EC-ENI,BB,Ventus B,110
FLRDD964A,D-9029,29,Std. Libelle,98
FLRDDE3F2,EC-FCD,L08,LS 1 f,98
FLRDDE3F1,EC-HCI,77,Astir CS 77,96
FLRDDE3F3,EC-LJU,94,Twin Astir RG,94
FLRDDEC57,EC-DFX,11,LS 3a,107
FLRDDE45D,EC-LXD,1L,DG 500 Trainer RG,100
