ID,CALL,CN,TYPE,INDEX
XVBD
CNI-VBD
V2AG
LXV-2AG,reg_NOTYET,IR,ASW 20,0
V1P3
LXV-1P3
V23V
LXV-23V,reg_NOTYET,VN,ASW 20,0
