ID,CALL,CN,TYPE,INDEX
K0Y2
NKL-0Y2,reg_NOTYET,PS,Jantar Std 2,100
K0YH
NKL-0YH

E0M7
EWA-0M7,reg_NOTYET,PR,Jantar Std 2,100
GJMO
FLA-JMO,reg_NOTYET,43,Jantar Std 2,100
