#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'O','38AEE5','SZD-42 Jantar 2/2b','D-9421','GW','Y','Y'
'I','38B17B','','','','Y','N'
'I','38B51B','Ventus 2cxM','F-CZRN','RN','Y','Y'
'I','38BEBC','WT9 Dynamic','F-JVEJ','','Y','Y'
'F','38C6FB','Arcus S','F-CZCX','AH','Y','Y'
'I','38D99B','Unknown','','','Y','Y'
'I','38D9BB','Unknown','','','Y','Y'
'I','38D9DB','Unknown','','','Y','Y'
'I','38D9FB','Unknown','','','Y','Y'
'I','38DBBB','Unknown','','','Y','Y'
'I','38E9BB','ASW-27','F-CMHN','4E','Y','Y'
'I','391A0C','DR-400','F-GGQM','','Y','Y'
'I','3930DC','Taurus','25AAV','HF','Y','Y'
'I','394681','Pilatus PC-6','F-GRUB','','Y','Y'
'O','395F39','Ground Station','UK-TEST','PJT','Y','Y'
'I','396072','Cessna 172','F-GYDS','','Y','Y'
'I','399F5C','WT9 Dynamic','F-JSOA','','Y','Y'
'I','3A027C','Sinus','F-JYNU','TG','Y','Y'
'I','3A0B1C','WT9 Dynamic','F-JRXZ','','Y','Y'
'I','3B06F3','Cessna 172','HB-CQL','CQL','Y','Y'
'O','3B5357','Ground Station','JD-Trac','_jd','Y','Y'
'O','3B5520','Unknown','SP-','OG8','Y','Y'
'O','3B6860','Ka-6 cr','PH-260','','Y','Y'
'I','3D04F3','TB-20 Trinidad','D-EACX','CX','Y','Y'
'I','3D0780','Grumman AA-5','D-EBCA','','Y','Y'
'I','3D0850','Aquila A210','DEBKA','KA','Y','Y'
'I','3D0888','Cessna 177','D-EBME','','Y','Y'
'I','3D08B4','DR-400','D-EBNW','','Y','Y'
'F','3D08E4','Vans RV-8','D-EBPS','PS','Y','Y'
'I','3D0930','DR-400','D-EBSQ','SQ','Y','Y'
'I','3D0A69','DR-400','D-ECER','ER','Y','Y'
'I','3D0B74','Piaggio P.149','D-ECOY','','Y','Y'
'I','3D0B97','Cessna 172','D-ECQH','QH','Y','Y'
'I','3D0C39','DR-400','D-ECWN','WN','Y','Y'
'I','3D0CE8','Cessna 172','D-EDDG','DG','Y','Y'
'F','3D0CFB','PZL-104 Wilga','D-EDDZ','','Y','Y'
'I','3D0DAC','PA-28','D-EDKU','DKU','Y','Y'
'I','3D0DFE','Grumman AA-5','D-EDNY','','Y','Y'
'I','3D10B9','DR-400','D-EEOV','OV','Y','Y'
'I','3D1114','Cessna 172','D-EESI','SI','Y','Y'
'I','3D1133','DR-400','D-EETN','','Y','Y'
'I','3D1143','TB-20 Trinidad','DEEUD','UD','Y','Y'
'I','3D1178','DR-400','D-EEWE','','Y','Y'
'I','3D13C3','Cessna 172','D-EFST','','Y','Y'
'I','3D14A1','DR-400','D-EGBH','BH','Y','Y'
'I','3D17F2','DR-250','D-EHHY','','Y','Y'
'I','3D1AD0','Mooney','D-EIKE','','Y','Y'
'I','3D1B27','DR-250','D-EINN','NN','Y','Y'
'I','3D1C11','DR-400','D-EIWN','','Y','Y'
'I','3D1C79','TB-10 Tobago','D-EJAN','AN','Y','Y'
'I','3D1D38','DR-400','D-EJHW','HW','Y','Y'
'I','3D1F7E','Cessna 172','D-EKEG','','Y','Y'
'I','3D2137','DR-400','D-EKVF','VF','Y','Y'
'I','3D2277','Cessna 172','D-ELHN','HN','Y','Y'
'F','3D2389','DR-400','D-ELSB','SB','Y','Y'
'I','3D23B1','Aquila A210','DELTP','TP','Y','Y'
'I','3D23F3','Motorplane','D-ELWD','','Y','Y'
'I','3D2834','DA40','D-ENMA','','Y','Y'
'I','3D2949','DA40','D-ENWR','WR','Y','Y'
'I','3D2EF0','DA40','D-EQAI','AI','Y','Y'
'I','3D335C','Cessna 172','D-ERRW','','Y','Y'
'F','3D3473','DA20 Katana','D-ESCP','','Y','Y'
'I','3D349D','Aquila A210','D-ESEF','EF','Y','Y'
'I','3D3864','Aquila A210','D-ESPK','','Y','Y'
'I','3D42F8','PA-28','D-EXPO','','Y','Y'
'I','3D5C99','SF-25','D-KAGN','','Y','Y'
'F','3D6F6A','Cessna 208','D-FOLE','AXL','Y','Y'
'I','3E5C8D','SF-25','D-KAGB','','Y','Y'
'F','3E5C95','SF-25','D-KAGJ','GJ','Y','Y'
'I','3E5C9B','SF-25','D-KAGP','','Y','Y'
'I','3E5CA3','SF-25','D-KAGX','','Y','Y'
'I','3E5CA5','SF-25','D-KAGZ','','Y','Y'
'I','3E5DBD','Arcus M','D-KART','GO','Y','Y'
'I','3E5DC5','ASG-29E','D-KASB','GPS','Y','Y'
'I','3E5DF4','Grob G109','D-KATW','TW','Y','Y'
'I','3E5E9E','H36 Dimona','D-KBAK','','Y','Y'
'I','3E5EF1','ASH-26 E','D-KBDP','DP','Y','Y'
'F','3E5FA0','Arcus M','D-KKKK','KK','Y','Y'
'I','3E6050','ASH-31 MI','D-KBRC','RC','Y','Y'
'I','3E60AF','SF-25','DKBUT','UT','Y','Y'
'I','3E60B2','SF-25','D-XXUW','UW','Y','Y'
'I','3E61F3','PIK-20 E','D-KCHF','HF','Y','Y'
'I','3E6213','Motorglider','D-KCIL','IL','Y','Y'
'I','3E6281','Discus 2cT','D-KCMR','MR','Y','Y'
'I','3E6334','DG-800','D-KCTO','TO','Y','Y'
'I','3E637D','Arcus M','D-KCWJ','8F','Y','Y'
'F','3E63E9','HK36 Super Dimona','D-KDAN','AN','Y','Y'
'I','3E63FF','SF-25','D-KDBJ','BJ','Y','Y'
'F','3E6416','SF-25','D-KDCG','CG','Y','Y'
'I','3E644F','DG-808 C','D-KDEL','NL','Y','Y'
'F','3E64C3','Arcus T','D-KXDX','DX','Y','Y'
'I','3E64F1','HK36 Super Dimona','D-KDKR','KR','Y','Y'
'I','3E64FA','Grob G109','D-KDLA','','Y','Y'
'F','3E651D','HK36 Super Dimona','','MJ','Y','Y'
'I','3E655A','Discus t','D-KDOS','GB','Y','Y'
'I','3E6577','HK36 Super Dimona','D-KDPV','','Y','Y'
'I','3E6681','ASH-26 E','D-KEAB','AB','Y','Y'
'I','3E671A','SF-25','D-KEFY','FY','Y','Y'
'I','3E673B','DG-400','D-KEHF','HF','Y','Y'
'I','3E67FD','SF-25','D-XXOR','OR','Y','Y'
'F','3E6999','DG-808 B','DKFEN','N','Y','Y'
'I','3E69B0','DG-808 B','D-KFFK','FK','Y','Y'
'F','3E69D3','HK36 Super Dimona','D-KFGT','GT','Y','Y'
'I','3E6BCA','HK36 Super Dimona','D-KGAC','','Y','Y'
'I','3E6BD3','Unknown','','','Y','Y'
'I','3E6D03','ASH-26 E','D-KGMD','MD','Y','Y'
'F','3E6D5A','Arcus M','D-KGPM','PM','Y','Y'
'I','3E6D5F','L 13 SEH Vivat','D-KGPR','PR','Y','Y'
'F','3E6D9C','ASG-29E','D-KGSA','29','Y','Y'
'I','3E6DC9','ASG-29E','D-KGTT','2T','Y','Y'
'I','3E6DE8','Ventus 2cxM','D-KGUY','UY','Y','Y'
'F','3E6DF6','Arcus M','D-KGVM','VM','Y','Y'
'I','3E6EDF','Arcus M','D-KHEL','EL','Y','Y'
'I','3E6F41','Nimbus 3','D-KHIF','XZ','Y','Y'
'I','3E71F3','DG-1000 T','D-KIIT','1T','Y','Y'
'I','3E71F5','Ventus t','D-KIIV','TB','Y','Y'
'I','3E72E5','H36 Dimona','D-KISB','SB','Y','Y'
'I','3E7327','LS-10','D-XXUP','IUP','Y','Y'
'I','3E732B','Duo Discus xlt','D-KIUT','UT','Y','Y'
'I','3E74F8','Nimbus 3','D-3190','90','Y','Y'
'I','3E7510','LAK-17 AT','D-KJNK','SCO','Y','Y'
'I','3E7540','ASH-31 MI','D-KJPG','PG','Y','Y'
'I','3E76A2','ASG-32 MI','D-KWMH','MH','Y','Y'
'I','3E76CA','ASH-26 E','D-KKEK','SH','Y','Y'
'I','3E779E','Unknown','','','Y','Y'
'I','3E77CE','Unknown','','','Y','Y'
'F','3E7951','Discus t','D-KLDH','DH','Y','Y'
'F','3E7973','Antares 20 E','D-KLEP','LB','Y','Y'
'I','3E7979','Duo Discus xt','D-KLEV','X7','Y','Y'
'F','3E79D1','HK36 Super Dimona','D-KLIF','IF','Y','Y'
'I','3E7A2C','LS-10','D-KLLS','LS','Y','Y'
'F','3E7A41','HK36 Super Dimona','D-KLMN','MN','Y','Y'
'I','3E7A6C','ASG-29E','D-KLOE','CT','Y','Y'
'I','3E7A72','Ventus 2cxM','D-KLOK','OK','Y','Y'
'I','3E7A98','ASH-26 E','D-KLPW','HS','Y','Y'
'I','3E7AD9','Quintus','D-KLSJ','Q','Y','Y'
'I','3E7B1A','Motorglider','D-KLUW','','Y','Y'
'I','3E7B34','HK36 Super Dimona','D-KLVW','','Y','Y'
'I','3E7BB3','Antares 18 T','D-KMAT','M','Y','Y'
'F','3E7BBE','Ventus 2cM','','BE','Y','Y'
'I','3E7BC5','HK36 Super Dimona','D-KMBL','','Y','Y'
'F','3E7BCB','Discus 2cT','D-KMBR','MA','Y','Y'
'F','3E7C0A','Motorglider','D-KMEC','EC','Y','Y'
'F','3E7C38','Stemme S-10','D-KMFW','FW','Y','Y'
'I','3E7C3C','HK36 Super Dimona','D-KMGA','GA','Y','Y'
'I','3E7C9B','Ventus 2cxT','D-KMJR','','Y','Y'
'I','3E7CD0','ASH-31 MI','D-KMLS','LS','Y','Y'
'I','3E7D2A','SF-25','D-KMPE','','Y','Y'
'I','3E7D7C','Ventus 2cxM','D-KMSI','SI','Y','Y'
'I','3E7DAB','SF-28','D-KMUD','MUD','Y','Y'
'I','3E7E50','SF-25','D-KNAM','','Y','Y'
'I','3E7EC3','Grob G109','D-KNEX','','Y','Y'
'I','3E9681','HK36 Super Dimona','D-KWER','WER','Y','Y'
'F','3EC0FA','','','','Y','N'
'I','3EC1C2','SF-25','D-KOIK','IK','Y','Y'
'I','3EC249','Arcus M','D-KONP','NP','Y','Y'
'F','3EC46D','H36 Dimona','D-KPIR','','Y','Y'
'I','3EC4B1','Ventus 2cM','D-KPLH','LH','Y','Y'
'I','3EC55C','ASH-25 MI','D-KPRW','RW','Y','Y'
'I','3EC9F2','Duo Discus xt','D-KRLA','LA','Y','Y'
'I','3ECA66','ASG-29E','D-KRPM','MX','Y','Y'
'F','3ECAD4','Ventus 2ct','D-KRTS','JR','Y','Y'
'O','3ECB3D','JS-1 C21','D-KRXT','XT','Y','Y'
'I','3ECBC9','Duo Discus xlt','D-KSDD','DD','Y','Y'
'I','3ECC15','Grob G109','D-KSGB','GB','Y','Y'
'F','3ECCA1','Arcus T','D-KSLL','LL','Y','Y'
'I','3ECE59','Duo Discus','D-KTCJ','CJ','Y','Y'
'I','3ECF8F','Nimbus 4DM','D-KTOH','OH','Y','Y'
'I','3ED92B','Arcus T','F-CXEX','SEX','Y','Y'
'F','3ED933','ASH-31 MI','D-KXFF','SKY','Y','Y'
'I','3ED9DD','Duo Discus xlt','F-CJYB','YB','Y','Y'
'I','3EDBF4','SF-25','D-KYGI','','Y','Y'
'I','3EDCA8','SF-25','D-KYNG','','Y','Y'
'I','3EDCB5','SF-25','D-KYNT','','Y','Y'
'I','3EDD36','Motorglider','D-KYSS','','Y','Y'
'I','3EDD99','DG-808 B','D-KVCB','J','Y','Y'
